phase,step,sim_time_s,commanded_hand_xyz_m,commanded_orientation_wxyz,gripper_closed,measured_hand_xyz_m,measured_orientation_wxyz,measured_joint_positions
left_foot:clear,113,1.9,"[-0.05108833312988281, 0.004667114000767469, 1.18]","[0.0, 0.7151756860120705, 0.6989447318187356, 0.0]",False,"[[-0.05144179239869118, 0.004700714722275734, 1.1838475465774536]]","[[0.0002778302878141403, 0.8019733428955078, 0.5915902853012085, 0.08282296359539032]]","[[0.44819727540016174, -0.5008146166801453, -0.45231893658638, -2.696394920349121, -0.16953672468662262, 2.3705544471740723, -0.34111306071281433, 0.039996299892663956, 0.04000066593289375]]"
left_foot:hover,293,4.9,"[-0.16917823255062103, -0.4063812792301178, 1.18]","[0.0, 0.7151756860120705, 0.6989447318187356, 0.0]",False,"[[-0.16917970776557922, -0.40552493929862976, 1.179634928703308]]","[[-0.0008201913442462683, 0.7153300642967224, 0.6987862586975098, 0.00010009924153564498]]","[[0.31126436591148376, -0.3721942603588104, -1.2437204122543335, -2.3268113136291504, -0.42599159479141235, 2.1564183235168457, -1.4259183406829834, 0.03999446704983711, 0.03999469056725502]]"
left_foot:descend,623,10.4,"[-0.16917823255062103, -0.4063812792301178, 0.9079999556541443]","[0.0, 0.7151756860120705, 0.6989447318187356, 0.0]",False,"[[-0.16794061660766602, -0.4085599184036255, 0.9125133156776428]]","[[0.004927848465740681, 0.7476732730865479, 0.6640371084213257, -0.0039066290482878685]]","[[1.3233107328414917, -0.7004891633987427, -2.43715500831604, -2.2921142578125, -1.0562758445739746, 2.6374857425689697, -0.9171993136405945, 0.03997199237346649, 0.042193420231342316]]"
left_foot:open_settle,647,10.8,"[-0.16794061660766602, -0.4085599184036255, 0.9125133156776428]","[0.0, 0.7151756860120705, 0.6989447318187356, 0.0]",False,"[[-0.1685560792684555, -0.4089999496936798, 0.9125847816467285]]","[[0.002164460951462388, 0.7471123933792114, 0.664688766002655, -0.002712479792535305]]","[[1.3050082921981812, -0.7100222110748291, -2.4198384284973145, -2.2900617122650146, -1.0620375871658325, 2.6220104694366455, -0.9200250506401062, 0.04022199660539627, 0.041259054094552994]]"
left_foot:close,707,11.8,"[-0.1685560792684555, -0.4089999496936798, 0.9125847816467285]","[0.0, 0.7151756860120705, 0.6989447318187356, 0.0]",True,"[[-0.16897477209568024, -0.40926995873451233, 0.9125633239746094]]","[[0.0011352482251822948, 0.7470846176147461, 0.6647262573242188, -0.0015456356341019273]]","[[1.2684310674667358, -0.7327480912208557, -2.3851962089538574, -2.2857284545898438, -1.0924047231674194, 2.5958685874938965, -0.9065904021263123, 0.04016263410449028, 0.040927816182374954]]"
left_foot:lift,863,14.4,"[-0.16917823255062103, -0.4063812792301178, 1.18]","[0.0, 0.7151756860120705, 0.6989447318187356, 0.0]",True,"[[-0.16909407079219818, -0.4062306582927704, 1.1761620044708252]]","[[-0.00022294113296084106, 0.7168943881988525, 0.6971580982208252, 0.005750315263867378]]","[[0.39788997173309326, -0.46448463201522827, -1.316259741783142, -2.320258140563965, -0.5217492580413818, 2.12721586227417, -1.3517202138900757, 0.03253138065338135, 0.03261405602097511]]"
left_foot:traverse,1116,18.616666666666667,"[0.28, -0.15, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2769930362701416, -0.1518229991197586, 1.1783396005630493]]","[[-0.001934887608513236, 0.7081345915794373, 0.7060689926147461, 0.002889624796807766]]","[[2.3592183589935303, -0.843815267086029, -2.234041452407837, -1.2397007942199707, -0.6409445405006409, 1.7935116291046143, -0.6972741484642029, 0.032533783465623856, 0.03261652961373329]]"
left_foot:lower,1266,21.116666666666667,"[0.2801775920391083, -0.15375570356845855, 0.9286770343780517]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.27978071570396423, -0.1534985601902008, 0.9280697107315063]]","[[-0.0019885024521499872, 0.7077100872993469, 0.7064996957778931, 0.0008344223024323583]]","[[2.43876314163208, -1.172568917274475, -2.4191529750823975, -1.2749013900756836, -0.8115964531898499, 2.1502039432525635, -0.6315638422966003, 0.03253108635544777, 0.032615385949611664]]"
left_foot:pre_release,1284,21.416666666666668,"[0.27978071570396423, -0.1534985601902008, 0.9280697107315063]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",True,"[[0.2794879376888275, -0.1533055305480957, 0.9268481731414795]]","[[-0.0019905788358300924, 0.707818865776062, 0.7063907384872437, 0.0008550200145691633]]","[[2.439260721206665, -1.173557162284851, -2.4206817150115967, -1.275821566581726, -0.8117867708206177, 2.1525802612304688, -0.6306952238082886, 0.03250879794359207, 0.03259468078613281]]"
left_foot:release,1320,22.016666666666666,"[0.2794879376888275, -0.1533055305480957, 0.9268481731414795]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2794944941997528, -0.15321943163871765, 0.9265844821929932]]","[[-0.0007276592077687383, 0.7069496512413025, 0.7072624564170837, 0.0012398092076182365]]","[[2.439761161804199, -1.1730412244796753, -2.4222793579101562, -1.277104377746582, -0.8126750588417053, 2.156344175338745, -0.6320152878761292, 0.03262476623058319, 0.032651856541633606]]"
left_foot:retreat,1441,24.033333333333335,"[0.2801775920391083, -0.15375570356845855, 1.18]","[0.0, 0.7071067811865476, 0.7071067811865476, 0.0]",False,"[[0.2800668179988861, -0.15387511253356934, 1.1761616468429565]]","[[-0.002316246973350644, 0.7070812582969666, 0.7071279883384705, -0.0008506151498295367]]","[[2.3765645027160645, -0.8543068170547485, -2.2489209175109863, -1.2147042751312256, -0.6425991654396057, 1.7826277017593384, -0.7070536017417908, 0.03999952971935272, 0.0399995855987072]]"
